No,Nama_Makanan,Jenis_makanan,Size,Kalori,Lemak,Karbohidrat,Protein
1,Indomie goreng,Makanan,80.0,350.0,12.0,52,8.0
2,Pop Mie,Makanan,75.0,350.0,16.0,45.0,6.0
3,Chitato Lite,Snack,14.0,80.0,4.5,8.0,1.0
4,Bubur Ayam,Makanan,240.0,372.0,12.4,36.1,27.6
5,Nissin Crispy Crackers,Snack,30.0,150.0,6.0,21.0,2.0
6,Pringles,Snack,25.0,130.0,8.0,14.0,2.0
7,Kupat Tahu,Makanan,250.0,391.0,10.9,62.7,11.3
8,BengBeng,Snack,20.0,100.0,5.0,13.0,1.0
9,Tango,Snack,19.0,90.0,4.0,12.0,1.0
10,Silver Queen,Snack,30.0,170.0,11.0,14.0,4.0
11,Oreo,Snack,114.0,560.0,24.0,80.0,4.0
12,Pocky,Snack,20.0,100.0,4.5,14.0,1.0
13,Fitbar,Snack,22.0,90.0,3.5,15.0,2.0
14,Sari Gandum,Snack,29.0,150.0,8.0,18.0,2.0
15,Singles Sosis,Snack,65.0,110.0,6.0,4.0,10.0
16,Single Baso,Snack,48.0,70.0,4.5,4.0,8.0
17,Kacang Atom,Snack,100.0,533.0,38.1,28.8,27.8
18,Mie Gemez Enak,Snack,20.0,70.0,4.0,13.0,2.0
19,Koko Krunch,Makanan,30.0,110.0,1.0,23.0,2.0
20,Slai Olai,Snack,24.0,110.0,3.0,18.0,1.0
21,Ultra Milk,Minuman,250.0,160.0,5.0,30.0,6.0
22,Buavita,Minuman,250,120,0,30,0
23,Pocari Sweat,Minuman,500,120,0,30,0
24,Kusuka,Snack,20,100,6,13,0
25,French Fries 2000,Snack,10,45,1.5,8,0
26,Marie Gold,Snack,20,90,3,15,1
27,Nextar,Snack,14,60,2,10,1
28,Malkist,Snack,27,120,4,20,2
29,Teh Kotak,Minuman,300,70,0,19,0
30,Choco Pie,Snack,26,110,4,18,1
31,Chocolatos,Snack,6,30,1.5,4,0
32,Nasi Goreng Ayam,Makanan,149,247,9,31.47,9.37
33,Risoles,Snack,100,160,6.25,14.43,10.54
34,Cocacola,Minuman,250,100,0,27,0
35,Bala-Bala,Snack,100,228,19.31,11.23,3.31
36,Tempe Mendoan,Snack,100,200,12.78,12.69,11.18
37,SariRoti,Snack,42,120,3,21,3
